,as_of_date,trade_time,quantity,quantity_direction,hedge_value
241,2022-03-18,20220318  09:52:32,1,-1.0,219735.35
242,2022-03-18,20220318  10:01:08,1,1.0,-219989.65
243,2022-03-18,20220318  10:09:08,1,1.0,-220339.65
244,2022-03-18,20220318  10:17:08,1,-1.0,220247.85
245,2022-03-18,20220318  10:23:08,1,1.0,-220352.15
246,2022-03-18,20220318  10:25:08,1,-1.0,220235.35
247,2022-03-18,20220318  10:33:08,1,1.0,-220377.15
248,2022-03-18,20220318  10:35:08,1,-1.0,220222.85
249,2022-03-18,20220318  10:39:08,1,-1.0,219785.35
250,2022-03-18,20220318  10:43:08,1,1.0,-220039.65
251,2022-03-18,20220318  10:45:08,1,-1.0,220022.85
252,2022-03-18,20220318  10:47:08,1,1.0,-220114.65
253,2022-03-18,20220318  10:51:09,1,-1.0,219860.35
254,2022-03-18,20220318  10:57:08,1,1.0,-220164.65
255,2022-03-18,20220318  11:07:08,1,1.0,-220552.15
256,2022-03-18,20220318  11:17:09,1,-1.0,220297.85
257,2022-03-18,20220318  11:23:55,2,1.0,-220314.65
257,2022-03-18,20220318  11:23:55,2,1.0,-220314.65
258,2022-03-18,20220318  11:31:55,1,1.0,-220464.65
259,2022-03-18,20220318  11:35:54,1,-1.0,220422.85
260,2022-03-18,20220318  11:37:54,1,1.0,-220727.15
261,2022-03-18,20220318  11:41:54,1,-1.0,220397.85
262,2022-03-18,20220318  11:48:13,2,-1.0,220272.85
262,2022-03-18,20220318  11:48:13,2,-1.0,220272.85
263,2022-03-18,20220318  11:48:15,2,-1.0,220335.35
263,2022-03-18,20220318  11:48:15,2,-1.0,220335.35
264,2022-03-18,20220318  11:48:56,2,1.0,-220314.65
264,2022-03-18,20220318  11:48:56,2,1.0,-220314.65
265,2022-03-18,20220318  12:18:27,1,1.0,-220764.65
266,2022-03-18,20220318  12:20:27,1,-1.0,220622.85
267,2022-03-18,20220318  12:24:27,1,1.0,-220764.65
268,2022-03-18,20220318  12:40:27,1,1.0,-221177.15
269,2022-03-18,20220318  12:48:27,1,-1.0,220985.35
270,2022-03-18,20220318  12:50:27,1,1.0,-221077.15
271,2022-03-18,20220318  13:04:27,1,-1.0,221110.35
272,2022-03-18,20220318  13:06:27,1,1.0,-221127.15
273,2022-03-18,20220318  13:26:27,1,1.0,-221452.15
274,2022-03-18,20220318  13:42:27,1,-1.0,221410.35
275,2022-03-18,20220318  13:50:27,1,1.0,-221489.65
276,2022-03-18,20220318  13:52:27,1,-1.0,221422.85
277,2022-03-18,20220318  14:02:27,1,1.0,-221477.15
278,2022-03-18,20220318  14:04:27,1,-1.0,221410.35
279,2022-03-18,20220318  14:16:28,1,1.0,-221552.15
280,2022-03-18,20220318  14:20:28,1,-1.0,221485.35
281,2022-03-18,20220318  14:24:28,1,1.0,-221552.15
282,2022-03-18,20220318  14:26:28,1,-1.0,221397.85
283,2022-03-18,20220318  14:34:28,1,1.0,-221514.65
284,2022-03-18,20220318  14:42:28,1,-1.0,221410.35
285,2022-03-18,20220318  14:46:28,1,1.0,-221564.65
286,2022-03-18,20220318  15:06:28,1,1.0,-221902.15
287,2022-03-18,20220318  15:21:37,1,1.0,-222289.65
288,2022-03-18,20220318  15:27:36,1,1.0,-222464.65
289,2022-03-18,20220318  15:35:37,1,1.0,-222814.65
290,2022-03-18,20220318  15:37:37,2,-1.0,222347.85
290,2022-03-18,20220318  15:37:37,2,-1.0,222347.85
291,2022-03-18,20220318  15:41:37,1,1.0,-222414.65
292,2022-03-18,20220318  15:51:37,1,-1.0,222447.85
293,2022-03-18,20220318  15:53:37,1,1.0,-222527.15
294,2022-03-18,20220318  15:57:10,2,-1.0,222685.35
294,2022-03-18,20220318  15:57:10,2,-1.0,222685.35
