,as_of_date,action,quantity,sec_type,symbol,trading_class,multiplier,price,commission,trade_time,sub_strategy,quantity_direction,hedge_value
364,2022-03-08,SLD,1,FUT,ES,ES,50,4260.5,2.15,20220308  13:22:03,DH,-1,213022.85
365,2022-03-08,SLD,1,FUT,ES,ES,50,4249.25,2.15,20220308  13:26:03,DH,-1,212460.35
366,2022-03-08,SLD,1,FUT,ES,ES,50,4244.75,2.15,20220308  13:28:03,DH,-1,212235.35
367,2022-03-08,SLD,1,FUT,ES,ES,50,4238.75,2.15,20220308  13:30:03,DH,-1,211935.35
368,2022-03-08,SLD,2,FUT,ES,ES,50,4228.25,4.3,20220308  13:32:03,DH,-2,422820.7
369,2022-03-08,BOT,1,FUT,ES,ES,50,4230.25,2.15,20220308  13:34:03,DH,1,-211514.65
370,2022-03-08,SLD,1,FUT,ES,ES,50,4223.5,2.15,20220308  13:38:03,DH,-1,211172.85
371,2022-03-08,SLD,1,FUT,ES,ES,50,4217.5,2.15,20220308  13:42:03,DH,-1,210872.85
372,2022-03-08,BOT,1,FUT,ES,ES,50,4221.5,2.15,20220308  13:44:03,DH,1,-211077.15
373,2022-03-08,SLD,1,FUT,ES,ES,50,4220.25,2.15,20220308  13:46:03,DH,-1,211010.35
374,2022-03-08,SLD,1,FUT,ES,ES,50,4213.5,2.15,20220308  13:50:03,DH,-1,210672.85
375,2022-03-08,SLD,1,FUT,ES,ES,50,4205.25,2.15,20220308  13:56:03,DH,-1,210260.35
376,2022-03-08,SLD,1,FUT,ES,ES,50,4198.0,2.15,20220308  14:00:03,DH,-1,209897.85
377,2022-03-08,SLD,1,FUT,ES,ES,50,4187.75,2.15,20220308  14:02:03,DH,-1,209385.35
378,2022-03-08,SLD,1,FUT,ES,ES,50,4187.5,2.15,20220308  14:02:03,DH,-1,209372.85
379,2022-03-08,BOT,1,FUT,ES,ES,50,4192.75,2.15,20220308  14:06:03,DH,1,-209639.65
380,2022-03-08,BOT,2,FUT,ES,ES,50,4202.75,4.3,20220308  14:08:03,DH,2,-420279.3
381,2022-03-08,SLD,1,FUT,ES,ES,50,4196.0,2.15,20220308  14:10:06,DH,-1,209797.85
382,2022-03-08,SLD,1,FUT,ES,ES,50,4190.25,2.15,20220308  14:12:03,DH,-1,209510.35
383,2022-03-08,BOT,1,FUT,ES,ES,50,4201.0,2.15,20220308  14:24:03,DH,1,-210052.15
384,2022-03-08,BOT,2,FUT,ES,ES,50,4210.25,4.3,20220308  14:28:03,DH,2,-421029.3
385,2022-03-08,SLD,1,FUT,ES,ES,50,4200.75,2.15,20220308  14:34:03,DH,-1,210035.35
386,2022-03-08,BOT,2,FUT,ES,ES,50,4215.25,4.3,20220308  14:38:03,DH,2,-421529.3
387,2022-03-08,SLD,1,FUT,ES,ES,50,4207.75,2.15,20220308  14:42:03,DH,-1,210385.35
388,2022-03-08,BOT,1,FUT,ES,ES,50,4216.0,2.15,20220308  14:44:03,DH,1,-210802.15
389,2022-03-08,BOT,1,FUT,ES,ES,50,4219.25,2.15,20220308  14:46:03,DH,1,-210964.65
390,2022-03-08,BOT,1,FUT,ES,ES,50,4227.75,2.15,20220308  14:50:03,DH,1,-211389.65
391,2022-03-08,SLD,1,FUT,ES,ES,50,4224.0,2.15,20220308  14:52:03,DH,-1,211197.85
392,2022-03-08,SLD,1,FUT,ES,ES,50,4219.5,2.15,20220308  14:54:03,DH,-1,210972.85
393,2022-03-08,BOT,1,FUT,ES,ES,50,4223.25,2.15,20220308  14:56:03,DH,1,-211164.65
394,2022-03-08,SLD,1,FUT,ES,ES,50,4217.0,2.15,20220308  14:58:03,DH,-1,210847.85
395,2022-03-08,BOT,2,FUT,ES,ES,50,4232.25,4.3,20220308  15:04:03,DH,2,-423229.3
396,2022-03-08,BOT,1,FUT,ES,ES,50,4234.25,2.15,20220308  15:06:04,DH,1,-211714.65
397,2022-03-08,SLD,1,FUT,ES,ES,50,4232.0,2.15,20220308  15:08:04,DH,-1,211597.85
398,2022-03-08,SLD,1,FUT,ES,ES,50,4221.5,2.15,20220308  15:12:04,DH,-1,211072.85
399,2022-03-08,SLD,1,FUT,ES,ES,50,4216.0,2.15,20220308  15:14:04,DH,-1,210797.85
400,2022-03-08,BOT,2,FUT,ES,ES,50,4221.25,4.3,20220308  15:16:04,DH,2,-422129.3
401,2022-03-08,SLD,1,FUT,ES,ES,50,4218.25,2.15,20220308  15:18:04,DH,-1,210910.35
402,2022-03-08,SLD,2,FUT,ES,ES,50,4210.25,4.3,20220308  15:22:04,DH,-2,421020.7
403,2022-03-08,BOT,1,FUT,ES,ES,50,4212.25,2.15,20220308  15:26:04,DH,1,-210614.65
404,2022-03-08,SLD,1,FUT,ES,ES,50,4205.0,2.15,20220308  15:28:04,DH,-1,210247.85
405,2022-03-08,SLD,2,FUT,ES,ES,50,4194.75,4.3,20220308  15:30:05,DH,-2,419470.7
406,2022-03-08,SLD,1,FUT,ES,ES,50,4187.25,2.15,20220308  15:32:04,DH,-1,209360.35
407,2022-03-08,SLD,2,FUT,ES,ES,50,4178.75,4.3,20220308  15:34:05,DH,-2,417870.7
408,2022-03-08,BOT,1,FUT,ES,ES,50,4185.25,2.15,20220308  15:38:05,DH,1,-209264.65
411,2022-03-08,BOT,1,FUT,ES,ES,50,4192.75,2.15,20220308  15:40:05,DH,1,-209639.65
412,2022-03-08,BOT,1,FUT,ES,ES,50,4193.0,2.15,20220308  15:40:05,DH,1,-209652.15
431,2022-03-08,SLD,1,FUT,ES,ES,50,4190.75,2.15,20220308  15:42:05,DH,-1,209535.35
432,2022-03-08,SLD,1,FUT,ES,ES,50,4185.75,2.15,20220308  15:44:05,DH,-1,209285.35
433,2022-03-08,SLD,1,FUT,ES,ES,50,4180.25,2.15,20220308  15:46:05,DH,-1,209010.35
434,2022-03-08,BOT,2,FUT,ES,ES,50,4191.0,4.3,20220308  15:52:05,DH,2,-419104.3
435,2022-03-08,SLD,1,FUT,ES,ES,50,4182.5,2.15,20220308  15:54:05,DH,-1,209122.85
436,2022-03-08,SLD,2,FUT,ES,ES,50,4172.5,4.3,20220308  15:56:05,DH,-2,417245.7
437,2022-03-08,SLD,1,FUT,ES,ES,50,4170.0,2.15,20220308  15:58:05,DH,-1,208497.85
438,2022-03-08,SLD,1,FUT,ES,ES,50,4160.0,2.15,20220308  16:02:05,DH,-1,207997.85
439,2022-03-08,BOT,5,FUT,ES,ES,50,4160.25,10.75,20220308  16:02:48,DH,5,-1040073.25
440,2022-03-18,SLD,1,FUT,ES,ES,50,4395.75,2.15,20220318  10:39:08,DH,-1,219785.35
441,2022-03-18,BOT,1,FUT,ES,ES,50,4400.75,2.15,20220318  10:43:08,DH,1,-220039.65
442,2022-03-18,SLD,1,FUT,ES,ES,50,4400.5,2.15,20220318  10:45:08,DH,-1,220022.85
443,2022-03-18,BOT,1,FUT,ES,ES,50,4402.25,2.15,20220318  10:47:08,DH,1,-220114.65
444,2022-03-18,SLD,1,FUT,ES,ES,50,4397.25,2.15,20220318  10:51:09,DH,-1,219860.35
445,2022-03-18,BOT,1,FUT,ES,ES,50,4403.25,2.15,20220318  10:57:08,DH,1,-220164.65
446,2022-03-18,BOT,1,FUT,ES,ES,50,4411.0,2.15,20220318  11:07:08,DH,1,-220552.15
447,2022-03-18,SLD,1,FUT,ES,ES,50,4406.0,2.15,20220318  11:17:09,DH,-1,220297.85
448,2022-03-18,BOT,2,FUT,ES,ES,50,4406.25,4.3,20220318  11:23:55,DH,2,-440629.3
449,2022-03-18,BOT,1,FUT,ES,ES,50,4409.25,2.15,20220318  11:31:55,DH,1,-220464.65
450,2022-03-18,SLD,1,FUT,ES,ES,50,4408.5,2.15,20220318  11:35:54,DH,-1,220422.85
458,2022-03-17,SLD,1,FUT,ES,ES,50,4342.0,2.15,20220317  09:35:28,DH,-1,217097.85
459,2022-03-17,BOT,1,FUT,ES,ES,50,4345.75,2.15,20220317  09:43:27,DH,1,-217289.65
462,2022-03-17,BOT,1,FUT,ES,ES,50,4364.25,2.15,20220317  09:59:27,DH,1,-218214.65
463,2022-03-17,BOT,1,FUT,ES,ES,50,4369.75,2.15,20220317  10:07:27,DH,1,-218489.65
464,2022-03-17,SLD,1,FUT,ES,ES,50,4370.25,2.15,20220317  10:09:27,DH,-1,218510.35
